Frequency(Hz_saddle)	AppRes(Ohm.m)	Phase(deg)
1.000000000000000000e+02	7.632656729248835745e+02	6.729348314743549508e+01
5.623413000000000039e+01	5.606891900972714211e+02	6.650717932160887358e+01
3.162277999999999878e+01	4.366746138159333555e+02	6.937217411516974153e+01
1.778278999999999854e+01	3.275384289628114516e+02	7.274517116437209552e+01
1.000000000000000000e+01	2.269208632574799083e+02	7.411009035381492538e+01
5.623413000000000217e+00	2.107451757097179836e+02	7.666258321136574239e+01
3.162278000000000144e+00	1.363324934020869250e+02	7.504597233626034836e+01
1.778278999999999943e+00	8.390869520540236692e+01	7.298266741635423216e+01
1.000000000000000000e+00	4.134133208767288892e+01	6.314455399182861584e+01
5.623409999999999798e-01	4.147430957700894538e+01	5.197765497306119897e+01
3.162280000000000091e-01	4.506403363538734652e+01	4.104400148619179589e+01
1.778280000000000138e-01	3.962943114002774081e+01	3.621697002439553614e+01
1.000000000000000056e-01	4.034298205946478078e+01	3.154055478145474112e+01
5.623399999999999926e-02	5.532663861277568884e+01	2.713247972307944522e+01
3.162299999999999833e-02	7.676017896174019484e+01	2.649440947918722955e+01
1.778300000000000020e-02	1.054580148092725551e+02	2.775935759218464227e+01
1.000000000000000021e-02	1.413098777939414106e+02	3.332391579973584328e+01
5.623000000000000394e-03	1.641090591474892335e+02	3.886884915526925965e+01
3.161999999999999880e-03	1.679925560073700410e+02	4.500776744772516480e+01
1.778000000000000067e-03	1.716957945828416428e+02	4.546350561236013732e+01
1.000000000000000021e-03	1.580964271723012757e+02	4.533053161497641526e+01
