1000	1000	1000	1000	1000
Frequency(Hz)	AppRes(Ohm.m)	Phase(deg)
1.000000000000000000e+02	9.230585111240401375e+02	4.355376034449185596e+01
5.623413000000000039e+01	9.237243624768428845e+02	4.477467521240976112e+01
3.162277999999999878e+01	1.016327437269873485e+03	4.477894633198954466e+01
1.778278999999999854e+01	1.031374096224563118e+03	4.608360272494154231e+01
1.000000000000000000e+01	1.071406584526747338e+03	4.538284554553754191e+01
5.623413000000000217e+00	8.872933494213190215e+02	4.502339436206622736e+01
3.162278000000000144e+00	8.526681966939279391e+02	4.144453938817068206e+01
1.778278999999999943e+00	9.507064502197100637e+02	4.637024172138848144e+01
1.000000000000000000e+00	9.344166073585746517e+02	4.738324083737906989e+01
5.623409999999999798e-01	8.654577479165376417e+02	4.619988603417156270e+01
3.162280000000000091e-01	1.074798572774290278e+03	4.199488032682173611e+01
1.778280000000000138e-01	9.310860327716249003e+02	4.861145229195185635e+01
1.000000000000000056e-01	1.021747233143519338e+03	4.734775543129808995e+01
5.623399999999999926e-02	1.011072160707672083e+03	4.686381859355337554e+01
3.162299999999999833e-02	1.021247666773734181e+03	4.706825791275502979e+01
1.778300000000000020e-02	9.048242819924278137e+02	4.918649203325863084e+01
1.000000000000000021e-02	1.096475480482335342e+03	4.404983649859916284e+01
5.623000000000000394e-03	1.069803367391099982e+03	4.330292412099730370e+01
3.161999999999999880e-03	1.027530144156555934e+03	4.227227089369719693e+01
1.778000000000000067e-03	1.049772717973542512e+03	4.731995586678470289e+01
1.000000000000000021e-03	9.685303346476059687e+02	4.439195615944549189e+01
