 100	 550	  10	1000	 200	 500	 800
Frequency(Hz)	AppRes(Ohm.m)	Phase(deg)
1.000000000000000000e+02	2.140722899699626396e+02	4.420431793057591818e+01
5.623413000000000039e+01	1.456389654980470141e+02	5.442297448933663162e+01
3.162277999999999878e+01	1.162698719029278465e+02	6.177707992449123253e+01
1.778278999999999854e+01	1.028714390883619387e+02	6.752007205610661345e+01
1.000000000000000000e+01	7.196300043865403495e+01	6.900978012527967564e+01
5.623413000000000217e+00	4.397848363245299197e+01	6.863710500488154764e+01
3.162278000000000144e+00	2.859142010455602900e+01	5.729463113241466488e+01
1.778278999999999943e+00	2.379944448855711769e+01	5.224207416285798189e+01
1.000000000000000000e+00	2.326758669507239929e+01	3.303030311197967706e+01
5.623409999999999798e-01	3.356165533162437242e+01	2.382790354547813294e+01
3.162280000000000091e-01	4.713342705825326817e+01	1.999725638148239071e+01
1.778280000000000138e-01	7.773804435339128815e+01	1.763468926667291470e+01
1.000000000000000056e-01	1.035340653192723579e+02	1.720030822412590155e+01
5.623399999999999926e-02	1.595211953928942137e+02	1.941557706714624842e+01
3.162299999999999833e-02	2.732638732806481130e+02	1.908349246461386883e+01
1.778300000000000020e-02	3.018044877937522301e+02	2.354463804951845063e+01
1.000000000000000021e-02	4.049856326325186160e+02	2.540253789335508117e+01
5.623000000000000394e-03	5.100901001249754358e+02	3.124173769163257575e+01
3.161999999999999880e-03	5.354141248912100082e+02	3.509256221897816630e+01
1.778000000000000067e-03	7.053374482495426037e+02	3.537746890447542825e+01
1.000000000000000021e-03	7.562640412715805951e+02	3.518585408021869654e+01
