 200	1000	  30	 500	1800	 150	 500	 400	 500
Frequency(Hz)	AppRes(Ohm.m)	Phase(deg)
1.000000000000000000e+02	3.315724428939570316e+02	5.885978431249296250e+01
5.623413000000000039e+01	2.330121395303680174e+02	6.348318508477148470e+01
3.162277999999999878e+01	1.561951044389603283e+02	6.238886349056200942e+01
1.778278999999999854e+01	1.134625990906066448e+02	5.564720851195776419e+01
1.000000000000000000e+01	1.000317048580210297e+02	4.528009797232390810e+01
5.623413000000000217e+00	1.110275498751016272e+02	3.499928213971304558e+01
3.162278000000000144e+00	1.452011361681201720e+02	2.765733130065853729e+01
1.778278999999999943e+00	2.041025880784212063e+02	2.376865181474013511e+01
1.000000000000000000e+00	2.901110447666031860e+02	2.260624732440741269e+01
5.623409999999999798e-01	4.040572875378182971e+02	2.328811168327622383e+01
3.162280000000000091e-01	5.430993111598072574e+02	2.510197584570750706e+01
1.778280000000000138e-01	6.999158811611365536e+02	2.751611427278779587e+01
1.000000000000000056e-01	8.639166857239150659e+02	3.014254469588339802e+01
5.623399999999999926e-02	1.023951939856980971e+03	3.271227316732516499e+01
3.162299999999999833e-02	1.170993989643116038e+03	3.505812553587874447e+01
1.778300000000000020e-02	1.299560321375505282e+03	3.709600170011546538e+01
1.000000000000000021e-02	1.407653394699980254e+03	3.880238226517527522e+01
5.623000000000000394e-03	1.495857160208588084e+03	4.019237595706486132e+01
3.161999999999999880e-03	1.566223204375630758e+03	4.130117049351422764e+01
1.778000000000000067e-03	1.621451573111131665e+03	4.217217149304917712e+01
1.000000000000000021e-03	1.664259336999334664e+03	4.284814069060651320e+01
